Month;Phase;Site;Section;Poecilia_vivipara;Astyanax_bimaculatus;Cichlasoma_orientale;Serrapinnus_heterodon;Oreochromis_niloticus;Hoplias_malabaricus;Steindachnerina_notonota;Phenacogaster_calverti;Compsura_heterura;Astyanax_fasciatus;Serrapinnus_piaba;Hemigrammus_spp;Prochilodus_brevis;Hypostomus_spp;Trachelyopterus_galeatus;Crenicichla_menezesi;Characidum_bimaculatum;Leporinus_piau;Parotocinclus_cearensis
jun_2018;flowing;S3;100_150;0;0.021118581;0;0.009386036;0;0;0.007039527;0.001173254;0;0;0.001173254;0.002346509;0;0;0;0;0;0;0
jun_2018;flowing;S3;100_150;0;0.019945326;0;0.01055929;0;0.001173254;0.003519763;0;0;0.002346509;0.009386036;0;0;0;0;0;0;0.002346509;0
jun_2018;flowing;S3;150_200;0.002346509;0.035197635;0.002346509;0.008212781;0;0.003519763;0;0;0;0;0.001173254;0.001173254;0;0;0;0;0.003519763;0;0
jun_2018;flowing;S3;150_200;0.002346509;0.031677871;0;0;0;0.001173254;0.003519763;0.001173254;0;0;0.011732545;0.004693018;0;0;0;0.001173254;0;0;0
jun_2018;flowing;S3;150_200;0.001173254;0.018772072;0.002346509;0.005866272;0;0.001173254;0;0.001173254;0;0;0.004693018;0.003519763;0;0;0;0;0;0;0
jun_2018;flowing;S4;0_50;0.024990345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jun_2018;flowing;S4;0_50;0.122679874;0.124951723;0.013631097;0;0;0.043165141;0;0;0;0;0;0;0;0;0;0;0;0;0
jun_2018;flowing;S4;0_50;0;0.006815549;0;0;0.00227185;0;0;0;0;0;0.00227185;0;0;0;0;0;0;0;0
jun_2018;flowing;S5;0_50;0.000643223;0.000643223;0.000643223;0.01157802;0;0.001286447;0;0.00192967;0.002572893;0.002572893;0.000643223;0;0;0;0;0.00192967;0;0;0
jun_2018;flowing;S5;0_50;0.000643223;0.00578901;0.000643223;0.00578901;0;0;0;0.002572893;0.000643223;0.000643223;0.000643223;0;0;0;0;0;0;0;0
jun_2018;flowing;S5;0_50;0.001286447;0.003216117;0;0.010934796;0;0;0;0.002572893;0.002572893;0;0.00192967;0.000643223;0;0;0;0.000643223;0;0;0
jun_2018;flowing;S5;50_100;0.012864466;0.029588273;0;0.010291573;0.000643223;0;0.000643223;0;0.001286447;0.000643223;0;0.001286447;0.000643223;0;0;0;0;0;0
jun_2018;flowing;S5;50_100;0.00385934;0.01157802;0;0.004502563;0;0;0;0;0;0;0.001286447;0;0;0;0;0;0;0;0
jun_2018;flowing;S5;50_100;0.000643223;0.007075457;0;0.000643223;0;0;0;0;0.000643223;0;0;0;0;0;0;0;0;0;0
jun_2018;flowing;S5;100_150;0.00385934;0.027015379;0;0.006432233;0.002572893;0;0;0;0.00192967;0;0.001286447;0.00192967;0;0;0;0;0;0;0
jun_2018;flowing;S5;100_150;0.002572893;0.014794136;0;0.01543736;0;0;0;0.000643223;0.002572893;0;0.00192967;0;0;0;0;0;0;0;0
jun_2018;flowing;S5;100_150;0.003216117;0.006432233;0;0.016723806;0;0;0.001286447;0.00192967;0.005145787;0.00192967;0.002572893;0;0;0;0;0;0;0;0
